Iterations,Learning loss,Accuracy,Test loss
0,"0,827753","0,50298","0,694374"
50,"0,830838",,
100,"0,792241",,
150,"0,773015",,
200,"0,683622",,
250,"0,67286",,
300,"0,710755",,
350,"0,614317",,
400,"0,583321",,
450,"0,606655",,
500,"0,609473",,
550,"0,598685",,
600,"0,597739",,
650,"0,629718",,
700,"0,613939",,
750,"0,549739",,
800,"0,552401",,
850,"0,57468",,
900,"0,498012",,
950,"0,548524",,
1000,"0,511169","0,75428","0,505139"
1050,"0,56846",,
1100,"0,557927",,
1150,"0,458841",,
1200,"0,477246",,
1250,"0,696827",,
1300,"0,538381",,
1350,"0,685511",,
1400,"0,4417",,
1450,"0,412994",,
1500,"0,413287",,
1550,"0,464607",,
1600,"0,547484",,
1650,"0,452296",,
1700,"0,362809",,
1750,"0,517126",,
1800,"0,334171",,
1850,"0,492561",,
1900,"0,336783",,
1950,"0,430512",,
2000,"0,390575","0,830082","0,376185"
2050,"0,347716",,
2100,"0,302955",,
2150,"0,383586",,
2200,"0,464537",,
2250,"0,422607",,
2300,"0,314633",,
2350,"0,41501",,
2400,"0,415354",,
2450,"0,483119",,
2500,"0,259224",,
2550,"0,294145",,
2600,"0,249629",,
2650,"0,343748",,
2700,"0,216101",,
2750,"0,263993",,
2800,"0,277514",,
2850,"0,291377",,
2900,"0,331081",,
2950,"0,200145",,
3000,"0,371667","0,850741","0,338074"
3050,"0,283764",,
3100,"0,328082",,
3150,"0,258879",,
3200,"0,24683",,
3250,"0,219835",,
3300,"0,29289",,
3350,"0,290087",,
3400,"0,235238",,
3450,"0,195752",,
3500,"0,30331",,
3550,"0,25737",,
3600,"0,242783",,
3650,"0,230198",,
3700,"0,202864",,
3750,"0,2629",,
3800,"0,268155",,
3850,"0,200778",,
3900,"0,247364",,
3950,"0,185214",,
4000,"0,246965","0,863962","0,324783"
4050,"0,293762",,
4100,"0,202934",,
4150,"0,212047",,
4200,"0,183476",,
4250,"0,274637",,
4300,"0,249793",,
4350,"0,224668",,
4400,"0,17341",,
4450,"0,163412",,
4500,"0,260027",,
4550,"0,309426",,
4600,"0,189634",,
4650,"0,234845",,
4700,"0,199188",,
4750,"0,291706",,
4800,"0,201983",,
4850,"0,218373",,
4900,"0,212765",,
4950,"0,230114",,
5000,"0,199594","0,867302","0,334236"
5050,"0,180387",,
5100,"0,175162",,
5150,"0,217108",,
5200,"0,143505",,
5250,"0,171615",,
5300,"0,171962",,
5350,"0,140122",,
5400,"0,150006",,
5450,"0,274273",,
5500,"0,159606",,
5550,"0,215328",,
5600,"0,199894",,
5650,"0,243167",,
5700,"0,266841",,
5750,"0,142939",,
5800,"0,185191",,
5850,"0,0891257",,
5900,"0,261811",,
5950,"0,184837",,
6000,"0,153921","0,868722","0,3268"
6050,"0,200742",,
6100,"0,191295",,
6150,"0,28832",,
6200,"0,187266",,
6250,"0,231978",,
6300,"0,114747",,
6350,"0,285515",,
6400,"0,198921",,
6450,"0,233127",,
6500,"0,256796",,
6550,"0,233108",,
6600,"0,157202",,
6650,"0,16844",,
6700,"0,21265",,
6750,"0,20412",,
6800,"0,300102",,
6850,"0,199007",,
6900,"0,197119",,
6950,"0,164918",,
7000,"0,260631","0,870881","0,328308"
7050,"0,112854",,
7100,"0,228531",,
7150,"0,206982",,
7200,"0,169015",,
7250,"0,229231",,
7300,"0,214014",,
7350,"0,248499",,
7400,"0,200531",,
7450,"0,171373",,
